@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
94,'2018/02/09 21:48:41:751',2,315.533722,401.460358,37.164764,292.156189,399.129944,42.43367,258.73407,402.044922,42.769154,220.47258,400.994568,40.927387,179.901794,398.936584,37.045349,1
95,'2018/02/09 21:48:41:798',2,329.892395,400.47467,37.751232,302.581909,399.95874,42.047989,271.016937,404.576996,42.109604,234.838409,404.125244,40.639656,194.390182,401.651215,37.379765,1
96,'2018/02/09 21:48:41:848',2,343.116638,401.099304,38.83075,315.305115,400.180206,42.313454,284.86792,405.223999,42.361061,250.218323,406.186859,40.36507,211.760117,403.125763,37.81044,1
97,'2018/02/09 21:48:41:899',2,354.05423,400.805115,39.796432,326.171448,401.485535,42.350105,297.235626,407.663086,41.905331,263.751587,408.659119,39.981194,228.549988,404.77713,37.927776,1
98,'2018/02/09 21:48:41:948',2,362.903534,402.514313,40.473141,333.668365,404.6427,41.957199,306.408142,410.242676,41.498657,273.326538,410.719482,39.696503,240.480057,405.437683,38.193321,1
99,'2018/02/09 21:48:41:999',2,375.858124,404.310699,40.95924,346.404663,407.651947,41.488831,321.133301,412.88623,41.205887,288.040161,413.058533,39.313339,257.020447,407.427551,38.223248,1
100,'2018/02/09 21:48:42:048',2,390.44223,405.419434,41.186474,362.130585,409.456238,40.651508,338.896118,415.310455,39.939594,306.967682,416.185364,38.828758,276.822632,411.387787,37.883354,1
101,'2018/02/09 21:48:42:098',2,403.891998,405.958038,41.539337,374.725708,409.530212,40.524204,352.527771,415.412872,39.944664,320.731903,416.24118,38.954277,291.187408,411.267578,38.238403,1
102,'2018/02/09 21:48:42:149',2,414.994202,405.78125,41.872204,385.333344,409.249817,40.750031,363.519318,415.041443,40.329708,331.574768,415.978729,39.165443,302.502991,410.994598,38.521709,1
103,'2018/02/09 21:48:42:199',2,428.799988,406.346497,42.131618,398.966309,409.44458,40.900932,377.506073,415.280243,40.465408,345.094391,416.478851,38.776821,317.223755,411.494141,38.58279,1
